hit,time,file,points,state,conf,impact,impact_recalc,impact_match,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
11,10:58:04,hit_011_20260801_105804.csv,512,DEFECT,HIGH,82,81,0,0,0,572,0,4373959,4373959,-3993973,434555.8,,600,-28,坏棒 总长1000m 铁头 600
12,10:58:05,hit_012_20260801_105805.csv,512,DEFECT,HIGH,81,80,0,0,0,587,0,4922393,4922393,-3793254,821954.8,,600,-13,坏棒 总长1000m 铁头 600
13,10:58:05,hit_013_20260801_105805.csv,512,DEFECT,HIGH,81,80,0,0,0,587,0,4081421,4081421,-4011491,434441.8,,600,-13,坏棒 总长1000m 铁头 600
14,10:58:05,hit_014_20260801_105805.csv,512,DEFECT,HIGH,81,80,0,0,0,572,0,4021246,4021246,-3867519,450115.4,,600,-28,坏棒 总长1000m 铁头 600
15,10:58:05,hit_015_20260801_105805.csv,512,DEFECT,HIGH,81,80,0,0,0,572,0,3820190,3673526,-3820190,418687.4,,600,-28,坏棒 总长1000m 铁头 600
16,10:58:06,hit_016_20260801_105806.csv,512,DEFECT,HIGH,82,81,0,0,0,572,0,4184058,3669046,-4184058,245775.7,,600,-28,坏棒 总长1000m 铁头 600
17,10:58:06,hit_017_20260801_105806.csv,512,DEFECT,HIGH,81,80,0,0,0,558,0,3968387,3198260,-3968387,175935.6,,600,-42,坏棒 总长1000m 铁头 600
18,10:58:06,hit_018_20260801_105806.csv,512,DEFECT,HIGH,81,80,0,0,0,572,0,3763698,3353579,-3763698,292980.4,,600,-28,坏棒 总长1000m 铁头 600
19,10:58:06,hit_019_20260801_105806.csv,512,DEFECT,HIGH,79,78,0,0,0,572,0,3646033,3059145,-3646033,175201.7,,600,-28,坏棒 总长1000m 铁头 600
20,10:58:07,hit_020_20260801_105807.csv,512,DEFECT,HIGH,79,78,0,0,0,572,0,3517773,3150300,-3517773,250271.1,,600,-28,坏棒 总长1000m 铁头 600
21,10:58:07,hit_021_20260801_105807.csv,512,DEFECT,HIGH,80,79,0,0,0,572,0,3802495,3171642,-3802495,216988.5,,600,-28,坏棒 总长1000m 铁头 600
22,10:58:07,hit_022_20260801_105807.csv,512,DEFECT,HIGH,81,80,0,0,0,558,0,3873227,3131038,-3873227,189195.9,,600,-42,坏棒 总长1000m 铁头 600
23,10:58:07,hit_023_20260801_105807.csv,512,DEFECT,HIGH,85,84,0,0,0,528,0,4431984,3079504,-4431984,-31150.6,,600,-72,坏棒 总长1000m 铁头 600
24,10:58:08,hit_024_20260801_105808.csv,512,DEFECT,HIGH,79,78,0,0,0,572,0,3649782,3236736,-3649782,236990.6,,600,-28,坏棒 总长1000m 铁头 600
25,10:58:08,hit_025_20260801_105808.csv,512,DEFECT,HIGH,81,80,0,0,0,558,0,3886329,3054107,-3886329,119723.3,,600,-42,坏棒 总长1000m 铁头 600
26,10:58:08,hit_026_20260801_105808.csv,512,DEFECT,HIGH,80,79,0,0,0,572,0,3713250,3146453,-3713250,190441.9,,600,-28,坏棒 总长1000m 铁头 600
27,10:58:08,hit_027_20260801_105808.csv,512,DEFECT,HIGH,84,83,0,0,0,543,0,4221656,3128862,-4221656,34188.2,,600,-57,坏棒 总长1000m 铁头 600
28,10:58:09,hit_028_20260801_105809.csv,512,DEFECT,HIGH,83,82,0,0,0,543,0,4229966,3083680,-4229966,15029.7,,600,-57,坏棒 总长1000m 铁头 600
29,10:58:09,hit_029_20260801_105809.csv,512,DEFECT,HIGH,82,81,0,0,0,543,0,4169000,3062619,-4169000,69863.6,,600,-57,坏棒 总长1000m 铁头 600
30,10:58:09,hit_030_20260801_105809.csv,512,DEFECT,HIGH,80,79,0,0,0,543,0,3727935,3126149,-3727935,145838.0,,600,-57,坏棒 总长1000m 铁头 600
31,10:58:09,hit_031_20260801_105809.csv,512,DEFECT,HIGH,80,79,0,0,0,572,0,3695600,3245885,-3695600,250348.7,,600,-28,坏棒 总长1000m 铁头 600
32,10:58:10,hit_032_20260801_105810.csv,512,DEFECT,HIGH,82,81,0,0,0,543,0,4029495,3071223,-4029495,98799.6,,600,-57,坏棒 总长1000m 铁头 600
33,10:58:10,hit_033_20260801_105810.csv,512,DEFECT,HIGH,83,82,0,0,0,528,0,4183376,2985372,-4183376,-177315.4,,600,-72,坏棒 总长1000m 铁头 600
34,10:58:10,hit_034_20260801_105810.csv,512,NORMAL,LOW,99,99,1,0,0,0,0,4278974,4278974,-2763214,-152310.4,,600,,坏棒 总长1000m 铁头 600
35,10:58:11,hit_035_20260801_105811.csv,512,DEFECT,HIGH,80,79,0,0,0,514,0,3447224,2810506,-3447224,-148689.4,,600,-86,坏棒 总长1000m 铁头 600
36,10:58:11,hit_036_20260801_105811.csv,512,DEFECT,HIGH,77,76,0,0,0,558,0,3387066,3298556,-3387066,318125.2,,600,-42,坏棒 总长1000m 铁头 600
37,10:58:11,hit_037_20260801_105811.csv,512,DEFECT,HIGH,79,78,0,0,0,543,0,3636340,3013000,-3636340,75013.0,,600,-57,坏棒 总长1000m 铁头 600
38,10:58:11,hit_038_20260801_105811.csv,512,DEFECT,HIGH,82,81,0,0,0,543,0,4079154,3008191,-4079154,-15836.7,,600,-57,坏棒 总长1000m 铁头 600
39,10:58:12,hit_039_20260801_105812.csv,512,DEFECT,HIGH,82,81,0,0,0,514,0,3907478,3161495,-3907478,-63264.4,,600,-86,坏棒 总长1000m 铁头 600
40,10:58:12,hit_040_20260801_105812.csv,512,DEFECT,HIGH,82,81,0,0,0,528,0,3993436,3096143,-3993436,-215319.4,,600,-72,坏棒 总长1000m 铁头 600
41,10:58:12,hit_041_20260801_105812.csv,512,DEFECT,HIGH,83,82,0,0,0,528,0,4013091,3181237,-4013091,-260247.3,,600,-72,坏棒 总长1000m 铁头 600
42,10:58:12,hit_042_20260801_105812.csv,512,DEFECT,LOW,96,95,0,0,0,705,0,3492111,3492111,-3025769,-328948.1,,600,105,坏棒 总长1000m 铁头 600
43,10:58:21,hit_043_20260801_105821.csv,512,DEFECT,HIGH,77,76,0,0,0,602,0,5656189,5656189,-3072874,1643563.6,,600,2,坏棒 总长1000m 铁头 600
44,10:58:21,hit_044_20260801_105821.csv,512,DEFECT,HIGH,78,77,0,0,0,602,0,4223371,4223371,-3505264,588344.2,,600,2,坏棒 总长1000m 铁头 600
45,10:58:21,hit_045_20260801_105821.csv,512,DEFECT,HIGH,77,76,0,0,0,602,0,5463643,5463643,-3283858,1140566.8,,600,2,坏棒 总长1000m 铁头 600
46,10:58:22,hit_046_20260801_105822.csv,512,DEFECT,HIGH,81,80,0,0,0,587,0,3934267,3934267,-3900002,412799.1,,600,-13,坏棒 总长1000m 铁头 600
47,10:58:22,hit_047_20260801_105822.csv,512,DEFECT,HIGH,81,80,0,0,0,587,0,4359566,4359566,-3975460,545645.9,,600,-13,坏棒 总长1000m 铁头 600
48,10:58:23,hit_048_20260801_105823.csv,512,DEFECT,HIGH,80,79,0,0,0,602,0,4544998,4544998,-3758479,744817.3,,600,2,坏棒 总长1000m 铁头 600
49,10:58:23,hit_049_20260801_105823.csv,512,DEFECT,HIGH,80,79,0,0,0,616,0,4811989,4811989,-3905896,913206.8,,600,16,坏棒 总长1000m 铁头 600
50,10:58:24,hit_050_20260801_105824.csv,512,DEFECT,HIGH,81,80,0,0,0,602,0,4784553,4784553,-3831109,900269.9,,600,2,坏棒 总长1000m 铁头 600
51,10:58:24,hit_051_20260801_105824.csv,512,DEFECT,HIGH,81,80,0,0,0,602,0,4412183,4412183,-3941798,762654.1,,600,2,坏棒 总长1000m 铁头 600
52,10:58:25,hit_052_20260801_105825.csv,512,DEFECT,HIGH,80,79,0,0,0,602,0,4119817,4119817,-3780903,812309.8,,600,2,坏棒 总长1000m 铁头 600
53,10:58:25,hit_053_20260801_105825.csv,512,DEFECT,HIGH,81,80,0,0,0,602,0,4110542,4110542,-3752082,745559.9,,600,2,坏棒 总长1000m 铁头 600
54,10:58:26,hit_054_20260801_105826.csv,512,DEFECT,HIGH,86,85,0,0,0,543,0,3529047,3526353,-3529047,396231.2,,600,-57,坏棒 总长1000m 铁头 600
55,10:58:26,hit_055_20260801_105826.csv,512,DEFECT,HIGH,80,79,0,0,0,528,0,3811052,2724807,-3811052,-114523.0,,600,-72,坏棒 总长1000m 铁头 600
56,10:58:27,hit_056_20260801_105827.csv,512,DEFECT,HIGH,81,80,0,0,0,587,0,3848134,3448917,-3848134,345979.4,,600,-13,坏棒 总长1000m 铁头 600
57,10:58:32,hit_057_20260801_105832.csv,512,DEFECT,HIGH,78,77,0,0,0,616,0,5850533,5850533,-3373998,1336094.7,,600,16,坏棒 总长1000m 铁头 600
58,10:58:33,hit_058_20260801_105833.csv,512,DEFECT,HIGH,81,80,0,0,0,587,0,4813044,4813044,-3902074,646719.3,,600,-13,坏棒 总长1000m 铁头 600
59,10:58:33,hit_059_20260801_105833.csv,512,DEFECT,HIGH,79,78,0,0,0,602,0,5994225,5994225,-3419183,1372350.5,,600,2,坏棒 总长1000m 铁头 600
60,10:58:34,hit_060_20260801_105834.csv,512,DEFECT,HIGH,81,80,0,0,0,602,0,5765566,5765566,-3690646,1096721.8,,600,2,坏棒 总长1000m 铁头 600
61,10:58:34,hit_061_20260801_105834.csv,512,DEFECT,HIGH,80,79,0,0,0,602,0,5384345,5384345,-3732535,1015146.5,,600,2,坏棒 总长1000m 铁头 600
62,10:58:35,hit_062_20260801_105835.csv,512,DEFECT,HIGH,80,79,0,0,0,616,0,5398740,5398740,-3896340,1117224.2,,600,16,坏棒 总长1000m 铁头 600
63,10:58:35,hit_063_20260801_105835.csv,512,DEFECT,HIGH,80,79,0,0,0,602,0,4299357,4299357,-3952098,822516.5,,600,2,坏棒 总长1000m 铁头 600
64,10:58:36,hit_064_20260801_105836.csv,512,DEFECT,HIGH,81,80,0,0,0,587,0,3842315,3842315,-3835736,645078.4,,600,-13,坏棒 总长1000m 铁头 600
65,10:58:36,hit_065_20260801_105836.csv,512,DEFECT,HIGH,83,82,0,0,0,572,0,3588429,3588429,-3437881,523207.0,,600,-28,坏棒 总长1000m 铁头 600
66,10:58:37,hit_066_20260801_105837.csv,512,DEFECT,HIGH,79,78,0,0,0,602,0,4726262,4726262,-3271200,913366.9,,600,2,坏棒 总长1000m 铁头 600
67,10:58:37,hit_067_20260801_105837.csv,512,DEFECT,HIGH,86,85,0,0,0,528,0,4692463,3382221,-4692463,64624.1,,600,-72,坏棒 总长1000m 铁头 600
68,10:58:38,hit_068_20260801_105838.csv,512,DEFECT,HIGH,91,90,0,0,0,543,0,5257912,3755675,-5257912,-150629.3,,600,-57,坏棒 总长1000m 铁头 600
69,10:58:39,hit_069_20260801_105839.csv,512,DEFECT,HIGH,90,89,0,0,0,558,0,5214101,3774664,-5214101,-161873.0,,600,-42,坏棒 总长1000m 铁头 600
70,10:58:39,hit_070_20260801_105839.csv,512,DEFECT,HIGH,80,79,0,0,0,587,0,4355083,4355083,-3893470,724510.4,,600,-13,坏棒 总长1000m 铁头 600
71,10:58:40,hit_071_20260801_105840.csv,512,DEFECT,HIGH,80,79,0,0,0,587,0,3992794,3956368,-3992794,671991.6,,600,-13,坏棒 总长1000m 铁头 600
72,10:58:40,hit_072_20260801_105840.csv,512,DEFECT,HIGH,80,79,0,0,0,572,0,3749625,3121416,-3749625,209993.0,,600,-28,坏棒 总长1000m 铁头 600
73,10:58:41,hit_073_20260801_105841.csv,512,DEFECT,HIGH,82,81,0,0,0,558,0,3906728,3087276,-3906728,153811.2,,600,-42,坏棒 总长1000m 铁头 600
74,10:58:42,hit_074_20260801_105842.csv,512,DEFECT,HIGH,75,74,0,0,0,558,0,1822341,1687635,-1822341,-44652.8,,600,-42,坏棒 总长1000m 铁头 600
75,10:58:42,hit_075_20260801_105842.csv,512,DEFECT,HIGH,75,74,0,0,0,616,0,3908111,3748518,-3908111,824360.2,,600,16,坏棒 总长1000m 铁头 600
76,10:58:44,hit_076_20260801_105844.csv,512,DEFECT,HIGH,76,75,0,0,0,616,0,5583896,5583896,-2929273,1642785.0,,600,16,坏棒 总长1000m 铁头 600
77,10:58:44,hit_077_20260801_105844.csv,512,DEFECT,HIGH,77,76,0,0,0,602,0,4609167,4609167,-3492870,1009679.0,,600,2,坏棒 总长1000m 铁头 600
78,10:58:45,hit_078_20260801_105845.csv,512,DEFECT,HIGH,77,76,0,0,0,616,0,5345956,5345956,-3096696,1278679.5,,600,16,坏棒 总长1000m 铁头 600
79,10:58:45,hit_079_20260801_105845.csv,512,DEFECT,HIGH,77,76,0,0,0,616,0,5042748,5042748,-3301363,1112129.4,,600,16,坏棒 总长1000m 铁头 600
80,10:58:46,hit_080_20260801_105846.csv,512,DEFECT,HIGH,78,77,0,0,0,602,0,5097609,5097609,-3315379,962559.1,,600,2,坏棒 总长1000m 铁头 600
81,10:58:46,hit_081_20260801_105846.csv,512,DEFECT,HIGH,78,77,0,0,0,602,0,4344652,4344652,-3729598,828313.4,,600,2,坏棒 总长1000m 铁头 600
82,10:58:47,hit_082_20260801_105847.csv,512,DEFECT,HIGH,78,77,0,0,0,602,0,4166994,4166994,-3506904,630485.4,,600,2,坏棒 总长1000m 铁头 600
83,10:58:47,hit_083_20260801_105847.csv,512,DEFECT,HIGH,78,77,0,0,0,616,0,4835301,4835301,-3553141,1067947.8,,600,16,坏棒 总长1000m 铁头 600
84,10:58:48,hit_084_20260801_105848.csv,512,DEFECT,HIGH,79,78,0,0,0,587,0,3905840,3905840,-3715623,512602.2,,600,-13,坏棒 总长1000m 铁头 600
85,10:58:48,hit_085_20260801_105848.csv,512,DEFECT,HIGH,79,78,0,0,0,602,0,4108064,4108064,-3831556,645031.4,,600,2,坏棒 总长1000m 铁头 600
86,10:58:49,hit_086_20260801_105849.csv,512,DEFECT,HIGH,79,78,0,0,0,602,0,4467817,4467817,-3841311,876300.0,,600,2,坏棒 总长1000m 铁头 600
87,10:58:49,hit_087_20260801_105849.csv,512,DEFECT,HIGH,80,79,0,0,0,587,0,3818985,3818985,-3793121,507498.4,,600,-13,坏棒 总长1000m 铁头 600
88,10:58:50,hit_088_20260801_105850.csv,512,DEFECT,HIGH,80,79,0,0,0,572,0,3905440,3905440,-3752935,551964.6,,600,-28,坏棒 总长1000m 铁头 600
89,10:58:51,hit_089_20260801_105851.csv,512,DEFECT,HIGH,79,78,0,0,0,587,0,3862629,3337342,-3862629,392485.5,,600,-13,坏棒 总长1000m 铁头 600
90,10:58:52,hit_090_20260801_105852.csv,512,DEFECT,HIGH,81,80,0,0,0,528,0,3852338,3365692,-3852338,44707.5,,600,-72,坏棒 总长1000m 铁头 600
91,10:58:53,hit_091_20260801_105853.csv,512,DEFECT,HIGH,82,81,0,0,0,514,0,4015849,3474318,-4015849,107517.8,,600,-86,坏棒 总长1000m 铁头 600
92,10:58:53,hit_092_20260801_105853.csv,512,DEFECT,HIGH,79,78,0,0,0,543,0,3520599,3483952,-3520599,270685.7,,600,-57,坏棒 总长1000m 铁头 600
93,10:58:54,hit_093_20260801_105854.csv,512,DEFECT,HIGH,84,83,0,0,0,499,0,4159936,3401152,-4159936,19081.2,,600,-101,坏棒 总长1000m 铁头 600
94,10:58:54,hit_094_20260801_105854.csv,512,DEFECT,HIGH,78,77,0,0,0,602,0,5082390,5082390,-3435389,984816.9,,600,2,坏棒 总长1000m 铁头 600
95,10:58:55,hit_095_20260801_105855.csv,512,DEFECT,HIGH,79,78,0,0,0,602,0,3923878,3836038,-3923878,627434.0,,600,2,坏棒 总长1000m 铁头 600
96,10:58:55,hit_096_20260801_105855.csv,512,DEFECT,HIGH,81,80,0,0,0,572,0,3868230,3126057,-3868230,85185.5,,600,-28,坏棒 总长1000m 铁头 600
97,10:58:56,hit_097_20260801_105856.csv,512,DEFECT,HIGH,82,81,0,0,0,558,0,3869238,3122572,-3869238,1265.4,,600,-42,坏棒 总长1000m 铁头 600
98,10:58:56,hit_098_20260801_105856.csv,512,DEFECT,HIGH,79,78,0,0,0,602,0,4053066,3149998,-4053066,314065.7,,600,2,坏棒 总长1000m 铁头 600
99,10:58:57,hit_099_20260801_105857.csv,512,DEFECT,HIGH,76,75,0,0,0,616,0,4724260,4724260,-3316751,1028603.6,,600,16,坏棒 总长1000m 铁头 600
100,10:58:57,hit_100_20260801_105857.csv,512,DEFECT,HIGH,76,75,0,0,0,616,0,5378138,5378138,-2845692,1523953.6,,600,16,坏棒 总长1000m 铁头 600
