hit,time,file,points,state,conf,impact,impact_recalc,impact_match,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
52,11:00:29,hit_052_20260801_110029.csv,512,DEFECT,HIGH,81,80,0,0,0,249,0,7518493,7518493,-5758074,1057354.0,,400,-151,坏棒 总长1000m 铁头 400
53,11:00:29,hit_053_20260801_110029.csv,512,DEFECT,HIGH,84,83,0,0,0,293,0,4737306,3806305,-4737306,311560.8,,400,-107,坏棒 总长1000m 铁头 400
54,11:00:29,hit_054_20260801_110029.csv,512,DEFECT,HIGH,80,79,0,0,0,279,0,5749426,5749426,-4254941,859456.8,,400,-121,坏棒 总长1000m 铁头 400
55,11:00:30,hit_055_20260801_110030.csv,512,DEFECT,HIGH,79,78,0,0,0,279,0,6687929,6687929,-5188393,958479.7,,400,-121,坏棒 总长1000m 铁头 400
56,11:00:30,hit_056_20260801_110030.csv,512,DEFECT,HIGH,81,80,0,0,0,308,0,5658655,5658655,-3948287,863704.6,,400,-92,坏棒 总长1000m 铁头 400
57,11:00:30,hit_057_20260801_110030.csv,512,DEFECT,HIGH,76,75,0,0,0,264,0,8388607,8388607,-5554047,1611705.5,,400,-136,坏棒 总长1000m 铁头 400
58,11:00:31,hit_058_20260801_110031.csv,512,DEFECT,HIGH,92,91,0,0,0,293,0,5687586,4521120,-5687586,-251075.7,,400,-107,坏棒 总长1000m 铁头 400
59,11:00:31,hit_059_20260801_110031.csv,512,DEFECT,HIGH,85,84,0,0,0,279,0,4911791,3127523,-4911791,27429.1,,400,-121,坏棒 总长1000m 铁头 400
60,11:00:31,hit_060_20260801_110031.csv,512,DEFECT,HIGH,81,80,0,0,0,308,0,4649359,4649359,-3863022,702201.5,,400,-92,坏棒 总长1000m 铁头 400
61,11:00:32,hit_061_20260801_110032.csv,512,DEFECT,HIGH,78,77,0,0,0,293,0,5669167,5669167,-4536647,920818.2,,400,-107,坏棒 总长1000m 铁头 400
62,11:00:32,hit_062_20260801_110032.csv,512,DEFECT,HIGH,77,76,0,0,0,279,0,6521387,6521387,-4754237,1076433.9,,400,-121,坏棒 总长1000m 铁头 400
63,11:00:33,hit_063_20260801_110033.csv,512,DEFECT,HIGH,84,83,0,0,0,279,0,6036030,6036030,-4649329,964958.9,,400,-121,坏棒 总长1000m 铁头 400
64,11:00:33,hit_064_20260801_110033.csv,512,DEFECT,HIGH,95,94,0,0,0,323,0,5016486,5016486,-4909556,504306.8,,400,-77,坏棒 总长1000m 铁头 400
65,11:00:33,hit_065_20260801_110033.csv,512,DEFECT,HIGH,88,87,0,0,0,279,0,5889475,5889475,-3940922,953303.0,,400,-121,坏棒 总长1000m 铁头 400
